Symbol,Company Name
500325,Reliance Industries Limited
500180,HDFC Bank Limited
532540,Tata Consultancy Services Limited
532454,Bharti Airtel Limited
890157,Bharti Airtel Limited
532174,ICICI Bank Limited
500112,State Bank of India
500209,Infosys Limited
500034,Bajaj Finance Limited
500696,Hindustan Unilever Limited
500875,ITC Limited
543526,Life Insurance Corporation of India
500510,Larsen & Toubro Limited
524715,Sun Pharmaceutical Industries Limited
532281,HCL Technologies Limited
500247,Kotak Mahindra Bank Limited
532500,Maruti Suzuki India Limited
532215,Axis Bank Limited
532538,UltraTech Cement Limited
532555,NTPC Limited
500520,Mahindra & Mahindra Limited
532978,Bajaj Finserv Ltd.
541154,Hindustan Aeronautics Limited
500312,Oil and Natural Gas Corporation Limited
500114,Titan Company Limited
532921,Adani Ports and Special Economic Zone Limited
532898,Power Grid Corporation of India Limited
512599,Adani Enterprises Limited
540376,Avenue Supermarts Limited
507685,Wipro Limited
500570,Tata Motors Limited
533278,Coal India Limited
500820,Asian Paints Limited
500228,JSW Steel Limited
500049,Bharat Electronics Limited
500790,Nestlé India Limited
532977,Bajaj Auto Limited
543320,Eternal Limited
533096,Adani Power Limited
539448,InterGlobe Aviation Limited
530965,Indian Oil Corporation Limited
500251,Trent Limited
500300,Grasim Industries Limited
540180,Varun Beverages Limited
500188,Hindustan Zinc Limited
500470,Tata Steel Limited
540719,SBI Life Insurance Company Limited
532868,DLF Limited
543940,Jio Financial Services Limited
500295,Vedanta Limited
543257,Indian Railway Finance Corporation Limited
532488,Divi's Laboratories Limited
540777,HDFC Life Insurance Company Limited
500331,Pidilite Industries Limited
541450,Adani Green Energy Limited
505200,Eicher Motors Limited
500440,Hindalco Industries Limited
544274,Hyundai Motor India Limited
500547,Bharat Petroleum Corporation Limited
540005,LTIMindtree Limited
532810,Power Finance Corporation Limited
500425,Ambuja Cements Limited
543287,Macrotech Developers Limited
500490,Bajaj Holdings & Investment Limited
532343,TVS Motor Company Limited
532755,Tech Mahindra Limited
511243,Cholamandalam Investment and Finance Company Limited
532424,Godrej Consumer Products Limited
500825,Britannia Industries Limited
532134,Bank of Baroda Limited
532155,GAIL (India) Limited
543237,Mazagon Dock Shipbuilders Limited
500087,Cipla Limited
500400,The Tata Power Company Limited
532725,Solar Industries India Limited
511218,Shriram Finance Limited
500002,ABB India Limited
500800,Tata Consumer Products Limited
532461,Punjab National Bank
500850,The Indian Hotels Company Limited
539254,Adani Energy Solutions Limited
532955,REC Limited
500420,Torrent Pharmaceuticals Limited
532432,United Spirits Limited
543220,Max Healthcare Institute Limited
521238,Bharat Global Developers Limited
500387,Shree Cement Limited
500550,Siemens Limited
534816,Indus Towers Limited
544252,Bajaj Housing Finance Limited
540699,Dixon Technologies (India) Limited
508869,Apollo Hospitals Enterprise Limited
543904,Mankind Pharma Limited
517354,Havells India Limited
517334,Samvardhana Motherson International Limited
500124,Dr. Reddy's Laboratories Limited
500093,CG Power and Industrial Solutions Limited
532477,Union Bank of India
541729,HDFC Asset Management Company Limited
